WGBS_1	WGBS_2	WGBS_3	RRBS_1	RRBS_2	RRBS_3	MBDBS_1	MBDBS_2	MBDBS_3
1603:157168-157170	4.166667	0	3.703704	8.333333	0	0	0	14.285714	0
1603:157184-157186	0	0	0	0	0	0	0	0	16.666667
161:843364-843366	42.857143	7.142857	59.090909	19.852941	4.255319	6.122449	20	62.5	42.857143
161:843766-843768	41.666667	0	57.692308	0	0	2.040816	28.571429	80	40
1613:7490-7492	3.703704	0	0	1.851852	8.333333	0	0	14.285714	0
1613:7496-7498	7.407407	0	3.846154	0	0	1.315789	6.25	0	0
1613:7511-7513	7.407407	0	7.142857	1.785714	0	3.896104	0	0	0
1613:7525-7527	0	0	0	0	0	0	0	14.285714	0
1618:138824-138826	14.285714	20	13.333333	24.242424	13.043478	7.5	44.444444	20	16.666667
1618:138829-138831	4.761905	40	6.666667	24.242424	8.695652	12.5	22.222222	20	16.666667
1618:138843-138845	15	18.181818	15.384615	0	0	6.896552	10	20	0
1618:138859-138861	22.222222	54.545455	18.75	0	0	7.142857	55.555556	50	20
1618:138862-138864	16.666667	72.727273	12.5	4.347826	4.761905	7.142857	55.555556	33.333333	20
1621:105397-105399	0	0	0	0	12.5	60	0	0	5.263158
1621:105415-105417	1.818182	0	0	0.458295	0.4329	0.186047	0	0	4.166667
1621:105420-105422	0	0	2.272727	0.731261	1.154401	0.55814	0	0	0
1621:105424-105426	0	0	0	0.458295	0.721501	0.465549	0	0	0
1621:105428-105430	0	0	3.921569	0.548446	1.298701	0.186047	0	0	3.846154
1621:105438-105440	1.428571	0	0	0.548446	0.578035	1.30597	0	0	0
1621:105452-105454	1.428571	0	5.769231	1.926606	1.300578	3.271028	0	0	0
1621:105467-105469	1.428571	0	1.886792	0.548446	0.4329	0.372093	0	0	3.703704
1621:105473-105475	0	0	4	0.457457	0.732064	0.282752	3.448276	0	0
165:811502-811504	0	0	0	0	0.579151	1.061008	0	0	20
1669:49803-49805	6.25	2.083333	8.163265	5.284553	0	5.714286	0	17.647059	0
1669:49824-49826	0	3.125	4.918033	30	0	8.333333	6.896552	0	0
1669:49829-49831	5.405405	1.587302	14.0625	25	0	11.111111	0	10	0
167:545779-545781	37.5	80	23.076923	13.392857	48.29932	12.716763	92.857143	83.333333	20
167:545785-545787	42.857143	80	16.666667	27.678571	43.918919	15.028902	92.857143	85.714286	20
167:545793-545795	62.5	50	33.333333	52.678571	55.033557	26.011561	83.333333	77.777778	20
167:545797-545799	50	20	16.666667	12.5	32.214765	24.855491	76.923077	88.888889	20
167:545801-545803	62.5	80	54.545455	39.285714	70.945946	23.121387	92.307692	88.888889	20
167:545812-545814	33.333333	100	30	49.107143	62.758621	28.323699	83.333333	88.888889	40
167:545823-545825	42.857143	62.5	50	24.107143	51.724138	30.057803	85.714286	88.888889	33.333333
167:545844-545846	58.333333	75	25	27.678571	67.586207	40.462428	100	86.666667	57.142857
167:545851-545853	54.545455	50	20	3.571429	47.586207	19.653179	94.117647	82.352941	71.428571
167:545867-545869	61.538462	20	7.692308	7.142857	17.931034	25.146199	72.222222	85	30
167:545895-545897	64.285714	33.333333	25	17.021277	41.09589	45.454545	82.352941	93.75	81.818182
167:548149-548151	26.315789	52.173913	43.333333	37.984496	55.555556	41.441441	56	57.142857	38.461538
167:548166-548168	47.058824	63.636364	48.148148	35.684647	59.07173	41.538462	68.181818	90.47619	50
167:548185-548187	35	50	53.571429	46.184739	57.142857	32.444444	61.111111	86.363636	58.333333
167:548192-548194	42.857143	45.454545	56	44.8	58.227848	38.392857	68.421053	76.190476	38.461538
167:548203-548205	23.809524	22.727273	30.434783	14.4	23.109244	29.777778	66.666667	68.181818	15.384615
167:548236-548238	87.5	60.869565	58.823529	57.915832	65.966387	89.285714	88.888889	94.736842	66.666667
167:548245-548247	73.333333	68.181818	47.058824	42.168675	51.260504	60.267857	88.888889	90.47619	50
167:548258-548260	62.5	50	47.058824	42.084168	69.747899	52.017937	71.428571	90.909091	66.666667
167:548291-548293	71.428571	78.26087	58.333333	72	62.605042	68	81.25	93.75	80
167:549712-549714	50	60	31.578947	21.333333	10.526316	18.604651	71.428571	100	100
167:549733-549735	57.142857	28.571429	0	4	8.77193	9.302326	50	85.714286	66.666667
167:549890-549892	11.111111	20	7.692308	8.333333	17.391304	0	36.842105	85.714286	40
167:554988-554990	60	42.857143	25	51.851852	37.5	72.340426	75	85.714286	100
167:554993-554995	40	28.571429	12.5	0	37.5	80.851064	72.727273	85.714286	85.714286
167:554999-555001	40	71.428571	25	29.62963	25	78.723404	81.818182	75	88.888889
167:555015-555017	40	50	50	66.666667	50	82.978723	72.727273	66.666667	90
167:555020-555022	40	40	37.5	62.962963	37.5	63.829787	86.363636	100	100
167:555170-555172	40	20	40	45	0	18.181818	68.181818	85.714286	88.888889
167:555179-555181	40	0	60	4.761905	16.666667	18.181818	61.904762	85.714286	55.555556
167:555241-555243	50	80	41.666667	40.740741	33.333333	36.363636	88	100	80
167:555256-555258	60	40	25	25.925926	33.333333	27.272727	88	88.888889	66.666667
167:555268-555270	50	40	0	0	33.333333	18.181818	62.962963	77.777778	33.333333
167:555311-555313	83.333333	50	14.285714	30.232558	37.931034	65.853659	85.185185	87.5	0
167:555326-555328	25	40	5	0	28.571429	50	75.862069	75	0
167:555918-555920	55.555556	30.769231	47.058824	5.882353	0	0	90	55.555556	50
167:555924-555926	44.444444	25	61.111111	5.882353	0	0	80	62.5	61.538462
167:555935-555937	66.666667	60	66.666667	47.058824	50	0	87.5	100	66.666667
167:555943-555945	66.666667	45.454545	61.111111	39.393939	44.444444	0	90.909091	100	66.666667
167:555961-555963	55.555556	33.333333	50	35.294118	22.222222	0	54.545455	66.666667	42.857143
167:555985-555987	66.666667	40	33.333333	11.764706	22.222222	0	40	62.5	20
167:556024-556026	66.666667	57.142857	61.538462	26.470588	11.111111	71.428571	60	100	66.666667
167:556027-556029	100	80	84.615385	20.588235	55.555556	100	60	85.714286	66.666667
167:556053-556055	60	40	45.454545	12.121212	37.5	0	71.428571	80	40
167:560465-560467	33.333333	0	16.666667	1.282051	0	16.666667	77.777778	60	42.857143
167:560480-560482	33.333333	40	16.666667	0.990099	11.764706	16.666667	77.777778	63.636364	50
167:560661-560663	100	36.842105	71.428571	40.163934	38.947368	76.388889	92.307692	100	100
167:560671-560673	80	47.368421	60	37.606838	39.316239	40.740741	92.307692	100	90
167:560727-560729	80	35.294118	50	40.425532	41.509434	25.225225	75	100	64.285714
167:560730-560732	50	38.095238	44.444444	35.840708	34.334764	26.05042	55.555556	100	87.5
167:560745-560747	60	56.25	48.148148	38	28.358209	19.327731	65	100	76.923077
167:560748-560750	60	6.25	22.222222	11.333333	4.850746	11.764706	27.777778	100	64.285714
167:560995-560997	80	85.714286	100	83.653846	89.189189	77.777778	85.714286	100	100
167:561002-561004	80	0	29.411765	32.692308	10.810811	33.333333	66.666667	100	42.857143
167:561012-561014	20	14.285714	45	39.423077	16.216216	51.851852	33.333333	83.333333	75
167:561014-561016	20	14.285714	45	30.769231	27.027027	44.444444	33.333333	50	62.5
167:561022-561024	42.857143	28.571429	30	31.730769	38.888889	29.62963	33.333333	100	87.5
167:561026-561028	33.333333	28.571429	38.095238	36.538462	29.72973	66.666667	42.857143	0	62.5
167:561045-561047	71.428571	28.571429	31.578947	24.038462	24.324324	60.714286	28.571429	100	66.666667
167:561055-561057	71.428571	40	52.631579	35.576923	45.945946	32.142857	50	100	90
167:561059-561061	28.571429	20	4.761905	0.961538	5.263158	17.857143	37.5	75	11.111111
167:561972-561974	0	22.222222	0	14.285714	15.789474	11.428571	0	0	0
167:562551-562553	100	63.636364	90.909091	35.897436	100	69.047619	71.428571	85.714286	57.142857
167:562582-562584	37.5	66.666667	57.894737	72.5	66.666667	76.190476	88.888889	85.714286	90
167:562586-562588	37.5	26.666667	52.631579	72.5	33.333333	59.52381	71.428571	85.714286	60
167:562604-562606	66.666667	66.666667	66.666667	75	50	83.333333	80	87.5	81.818182
167:562608-562610	80	66.666667	41.666667	27.5	66.666667	21.428571	72.727273	33.333333	61.538462
167:562610-562612	80	73.333333	46.153846	77.5	66.666667	71.428571	72.727273	77.777778	100
167:562614-562616	40	40	30.769231	60	33.333333	38.095238	70	44.444444	69.230769
167:562630-562632	60	40	69.230769	70	50	73.809524	80	71.428571	80
167:562873-562875	66.666667	9.090909	43.75	43.333333	28.571429	61.904762	100	100	66.666667
167:562910-562912	14.285714	15.384615	15.789474	10	14.285714	14.285714	50	66.666667	50
167:562918-562920	42.857143	23.076923	42.105263	53.333333	28.571429	52.380952	80	100	90
167:562923-562925	28.571429	21.428571	22.222222	20	0	28.571429	50	100	90
167:562941-562943	83.333333	61.538462	52.631579	26.519337	52.941176	38.513514	90.909091	85.714286	92.307692
167:562947-562949	42.857143	64.285714	61.904762	39.871383	53.846154	57.986111	100	100	86.666667
167:562958-562960	55.555556	75	65.384615	33.546326	67.619048	55.555556	93.75	92.307692	77.777778
167:562963-562965	50	66.666667	48.275862	35.463259	64.761905	53.472222	78.947368	100	71.428571
167:562970-562972	60	78.947368	60	44.230769	62.857143	63.194444	84.210526	100	77.272727
167:562982-562984	54.545455	70	50	69.648562	84.761905	75	84.210526	100	80.952381
167:563010-563012	54.545455	71.428571	60.97561	58.146965	71.428571	68.402778	83.333333	95.833333	80
167:563019-563021	50	86.363636	79.069767	66.666667	66.27907	67.045455	85.714286	100	79.166667
167:563034-563036	42.857143	44.444444	58.823529	66.292135	54.545455	57.142857	52.380952	100	63.636364
167:563040-563042	71.428571	31.25	61.290323	65.168539	36.363636	42.857143	71.428571	93.75	73.913043
167:563049-563051	50	28.571429	48.387097	55.05618	40.909091	51.428571	73.684211	85.714286	73.913043
167:563064-563066	50	28.571429	39.285714	25.842697	31.818182	22.857143	58.823529	92.307692	84.210526
167:563067-563069	50	28.571429	44.827586	22.47191	31.818182	17.142857	56.25	76.923077	78.947368
167:563074-563076	50	38.461538	46.153846	33.707865	36.363636	48.571429	60	92.307692	88.888889
167:563087-563089	50	30.769231	25	6.741573	31.818182	17.142857	61.538462	75	44.444444
167:566756-566758	45.454545	40	31.25	12.1673	9.473684	12.854031	73.333333	60	57.142857
167:566775-566777	27.272727	33.333333	4.761905	0.379507	4.473684	6.304348	26.666667	0	0
167:566781-566783	40	44.444444	38.095238	9.640832	9.736842	14.507772	73.333333	66.666667	57.142857
167:566806-566808	30	40	33.333333	9.280303	14.285714	19.172113	70	80	40
1676:110408-110410	0	0	17.647059	7.233273	4.587156	4.059041	0	0	16.666667
168:437565-437567	0	0	5	91.666667	98.305085	85.526316	0	0	0
168:437573-437575	3.571429	0	4.545455	0.634518	0.823624	0.992851	6.25	11.111111	0
168:437578-437580	6.896552	4.761905	0	1.014906	0.782504	0.77427	0	0	0
168:437582-437584	0	0	0	0.857415	0.501404	1.033386	0	0	0
168:437586-437588	0	0	0	0.761663	0.581862	0.715279	0	10	0
168:437596-437598	3.225806	4.545455	4	1.077996	0.702106	0.77427	0	10	0
168:437610-437612	2.857143	0	0	1.61597	0.62199	1.132075	0	10	0
168:437626-437628	0	4.347826	0	0.475135	0.601564	0.517516	0	0	0
168:437639-437641	0	0	0	3.735359	2.247191	3.137411	0	12.5	0
168:439369-439371	0	0	1.04712	0	0	0	0	0	4.347826
168:439387-439389	0	0	0.980392	0	0	0	0	0	4.347826
168:439391-439393	0.900901	3.947368	1.214575	0	0	0	3.125	0	0
168:439393-439395	0.917431	2.5	1.587302	0	0	0	0	0	0
168:439442-439444	1.204819	0	1.204819	0	0	0	5.555556	7.692308	7.692308
168:439450-439452	0	1.492537	2.183406	0	0	0	0	0	0
168:441892-441894	0	0	1.587302	27.272727	6.25	0	3.333333	0	0
168:441920-441922	4.166667	0.925926	0	0	0	0	0	0	0
168:441947-441949	0	0.571429	0.884956	0	0	0	4.615385	0	0
168:441974-441976	0	1.321586	0	0	0	1.923077	0	0	0
168:441978-441980	0	0.869565	0	0	0	0	1.204819	0	0
168:441987-441989	0.757576	1.214575	1.875	0	0	5.769231	1.136364	0	4
168:441992-441994	0	1.234568	1.234568	0	0	5.769231	0	0	0
168:442055-442057	0	1.904762	0.649351	0	0	42.857143	1.388889	3.703704	0
168:445048-445050	1.167315	0	0.327869	0	0	0	0	0	0
168:445053-445055	0	1.136364	0.325733	0	0	0	0	5.970149	2.631579
168:445152-445154	4.43038	3.333333	4.225352	0	0	0	0	2.702703	0
168:445171-445173	0	1.06383	2.325581	0	0	0	3.703704	0	0
168:445177-445179	0.970874	1.123596	3.030303	0	0	0	0	3.571429	0
168:445183-445185	0	1.136364	1.818182	0	0	0	0	8	0
168:445209-445211	1.010101	2.061856	0.621118	0	0	0	0	5.555556	0
168:445227-445229	0	0	3.278689	0	14.285714	6.25	0	0	0
168:450606-450608	0	2.631579	2.678571	1.851852	0	6.666667	0	0	5
168:454233-454235	0	0	1.459854	0	0	30	0	0	5.882353
168:454238-454240	1.265823	0	0	0	0	15.384615	2.564103	0	0
168:454304-454306	1.904762	2.758621	3.10559	3.900439	4.090378	4.188791	0	0	0
168:454337-454339	1.086957	6.20155	4.098361	1.07418	3.523284	1.552041	2	3.571429	0
168:454356-454358	2.739726	8.928571	2.830189	3.146991	7.103491	2.112801	6.976744	0	9.52381
168:454362-454364	5.633803	6.363636	5.882353	3.190771	7.110057	1.876295	9.756098	0	5
168:454368-454370	4.225352	6.542056	1.960784	1.575335	4.776485	1.497928	7.5	0	5
168:454394-454396	1.538462	1.136364	3	0.697845	0.53566	0.704225	0	0	5
168:454412-454414	3.773585	1.333333	0	3.950881	4.21282	4.704549	0	4.347826	0
168:454415-454417	0	1.408451	1.265823	35.483871	36	39.02439	0	0	0
168:454423-454425	0	0	1.333333	51.06383	52.5	42.391304	0	0	0
168:454426-454428	2.439024	3.125	0	21.428571	50	32.5	0	0	0
168:454435-454437	0	0	1.587302	24	57.692308	32.051282	4.347826	0	15.384615
168:454445-454447	0	1.785714	0	30	6.730769	32.53012	0	0	16.666667
168:454458-454460	0	0	2.777778	0	3.061224	0	6.25	0	10
168:454462-454464	0	2.702703	3.030303	0	3.061224	0	0	0	0
168:454466-454468	4.347826	3.125	3.225806	0	4.081633	0	6.25	0	0
168:454476-454478	0	0	0	0	4.081633	0	7.142857	0	0
168:454506-454508	4	3.225806	8.333333	0	3.061224	2.941176	0	0	0
1680:120668-120670	0	0	4.166667	0	0	0	0	0	0
1680:120682-120684	0	0	3.703704	0	0	0	11.111111	0	0
1680:120693-120695	0	0	6.896552	3.333333	0	0	0	0	0
1681:89168-89170	20	25	55.555556	38.235294	12.5	13.043478	28.571429	25	83.333333
1681:89185-89187	20	14.285714	43.75	16.666667	0	20	50	14.285714	66.666667
1681:89192-89194	20	0	43.75	0	0	0	33.333333	16.666667	50
1681:89362-89364	9.090909	33.333333	36.842105	24.242424	12.5	8.695652	57.142857	33.333333	62.5
1681:89379-89381	16.666667	45.454545	29.411765	21.212121	25	8.695652	42.857143	33.333333	25
1681:89410-89412	18.181818	72.727273	90.909091	54.545455	25	9.090909	71.428571	50	66.666667
1681:89412-89414	9.090909	72.727273	83.333333	39.393939	25	8.695652	62.5	50	100
1681:89435-89437	12.5	70	20	48.484848	12.5	8.695652	71.428571	40	50
1681:94740-94742	25	20	28.571429	20.661157	26.086957	25.517241	75	40	60
1681:94751-94753	22.727273	50	35.294118	23.770492	33.333333	32.413793	71.428571	40	83.333333
1681:94761-94763	38.461538	41.666667	35.294118	19.672131	42.028986	37.931034	85.714286	57.142857	83.333333
1681:94784-94786	44.827586	45.454545	38.888889	24.786325	49.275362	34.482759	100	75	50
1681:134880-134882	36	47.058824	62.5	61.445783	60.591133	37.346939	100	71.428571	100
1681:134893-134895	32	31.25	47.058824	25.714286	30.275229	19.880716	100	42.857143	80
169:53074-53076	100	85.714286	100	100	57.142857	83.333333	100	100	85.714286
169:53077-53079	100	100	91.666667	100	100	66.666667	100	100	85.714286
169:53104-53106	100	100	100	100	100	83.333333	100	80	85.714286
169:820583-820585	0	0	20	0	0	11.904762	0	0	14.285714
1695:115887-115889	0	0	2.631579	14.285714	0	0	0	0	0
1695:115896-115898	0	0	1.388889	14.285714	0	0	0	0	0
1695:116453-116455	0	0	0	0	0	0	0	0	0
170:534526-534528	14.285714	0	0	0.524781	0.212766	1.049475	0	0	40
170:534531-534533	4.545455	0	0	0.350263	0.212766	0.898204	0	0	11.111111
170:534546-534548	0	5	0	0.991254	2.771855	1.197605	0	0	0
170:534553-534555	0	0	0	0.116686	0.425532	1.497006	6.666667	0	0
170:534555-534557	4	0	2.040816	0.058309	0.639659	1.047904	0	0	0
170:566605-566607	0	0	0	0.564573	1.533742	0.215517	0	0	0
170:566607-566609	0	5.555556	1.515152	0.634249	2.453988	0.429185	0	0	0
170:566619-566621	5.882353	5.882353	1.538462	2.58427	4.511278	2.719033	0	0	0
170:615835-615837	0	0	0	0	0	0.952381	0	0	0
170:646501-646503	0	3.333333	3.571429	0.855615	1.333333	0.409836	0	0	14.285714
1715:28520-28522	0	0	9.090909	12.345679	1.111111	5.970149	12.5	0	0
1729:119896-119898	0.766284	0.784314	0.338983	3.539823	2.040816	3.888889	1.694915	2.020202	0
1729:119908-119910	1.895735	1.010101	0	0	0.680272	0	0	0	0
1729:119915-119917	3.9801	1.530612	3.162055	2.521008	0.680272	1.092896	2.150538	5.405405	0
1729:119945-119947	3.719008	1.99005	2.545455	2.521008	0.680272	0	0	0	0
1729:120011-120013	2.040816	1.092896	1.831502	2.521008	0	1.648352	1.980198	1.190476	3.636364
1729:120044-120046	3.225806	2.419355	2.517986	5.084746	0	1.869159	2.5	2.222222	0
1729:120125-120127	0	0	2.061856	20	0	14.285714	0	0	0
1729:120137-120139	0	0	0	0	0	0	1.886792	0	0
1729:120144-120146	3.797468	2.222222	4.635762	0	0	9.090909	1.923077	5.084746	3.125
1729:120240-120242	0	0.649351	2.621723	2.439024	0	1.075269	0	0	4.477612
1729:120279-120281	1.913876	0.641026	2.846975	4.166667	0	6.486486	0.917431	4.301075	2.777778
1729:120290-120292	1.442308	2.112676	4.166667	2.5	0	2.173913	4.901961	4.705882	1.449275
1729:120353-120355	0.574713	0	2.553191	61.538462	25	47.058824	0	2.247191	1.666667
1729:120468-120470	0.537634	0	0.666667	16.666667	0	0	4.545455	3.225806	0
1729:120491-120493	7.303371	15.862069	13.333333	0	11.111111	0	21.621622	18.309859	9.677419
1729:120508-120510	2.312139	1.30719	3.571429	18.181818	8.333333	0	0	1.492537	0
1729:120519-120521	1.117318	1.910828	1.754386	9.090909	0	9.090909	1.176471	8.641975	0
1729:120923-120925	0.684932	0	4.958678	0	0	0	1.470588	4.477612	0
1729:120946-120948	17.721519	17.117117	23.880597	0	20	25	19.117647	21.73913	22.727273
1729:120963-120965	1.25	0.833333	3.896104	0	0	0	1.351351	6.756757	4.166667
1729:120974-120976	1.142857	2.307692	3.529412	0	0	0	4.938272	1.282051	3.703704
173:13279-13281	10	0	0	0	0	0	0	0	0
173:13286-13288	11.111111	0	0	0	0	0	0	0	0
173:13300-13302	14.285714	0	0	0.552486	0	0	0	0	0
173:67898-67900	0	4.761905	1.886792	3.816794	3.846154	4.794521	0	0	0
1735:64015-64017	6.666667	0	0	4.441041	3.284672	6.831683	25	10	12.5
1735:64044-64046	0	0	2.830189	0.764388	0.327869	1.850746	0	0	0
1735:64053-64055	9.677419	11.764706	2.803738	0.674764	0.328947	1.548541	10	0	0
1735:64110-64112	5.555556	6.666667	15.730337	7.578475	5.901639	0.952381	0	0	12.5
1735:64121-64123	4.545455	6.451613	12.987013	6.017063	4.276316	0.537634	0	4.761905	12.5
1735:64139-64141	6.896552	4.545455	5	0.942549	1.967213	0.359712	0	0	0
1735:64158-64160	2.12766	5.555556	0	0.719424	0.328947	0.239664	0	0	0
1744:45146-45148	0	29.411765	72.727273	0	16.666667	0	87.5	80	71.428571
1744:45401-45403	11.111111	36.842105	78.571429	0	20	0	50	60	66.666667
1744:45418-45420	22.222222	41.176471	92.307692	0	10	0	100	40	83.333333
1744:45550-45552	33.333333	52	75	40.625	30.769231	14.74359	90	60	60
1744:45564-45566	30.769231	40	70	40.625	29.059829	16.025641	60	80	33.333333
1744:46158-46160	50	19.354839	11.111111	14.705882	9.090909	1.020408	5	37.5	28.571429
1746:36160-36162	0	0	0	0	0	0	0	0	0
1746:36163-36165	0	0	0	0	0	0	0	0	0
1746:36172-36174	0	0	0	0	0	0	0	0	0
1746:36182-36184	0	0	0	0	4.545455	11.111111	0	0	0
1747:74347-74349	0	0	0	0.57929	1.149425	0.914634	0	0	0
1747:74363-74365	10	0	0	1.375815	0.917431	2.749491	0	0	0
1747:74377-74379	0	0	3.846154	0.651702	0	2.337398	0	0	7.142857
1747:74387-74389	0	0	4.166667	0.305577	0.530504	1.322482	0	0	0
1747:74391-74393	5.263158	0	0	0.362056	0.45977	1.119023	0	14.285714	0
1747:74395-74397	0	0	0	0.651702	0.229358	1.422764	0	0	0
1747:74400-74402	5.555556	0	0	0.362056	0.688073	1.525941	0	0	0
1747:74408-74410	0	0	12.5	3.677932	6.722689	4.697987	0	0	0
175:85551-85553	0	0.662252	0.824176	0	0	0	0	0	1.639344
175:85556-85558	1.388889	2.302632	1.355014	0	0	0	0	0	4.6875
175:85614-85616	0	1.176471	0.938967	0	0	0	1.666667	0	0
175:85647-85649	3.703704	0.714286	0.574713	0	0	2.941176	2.173913	0	0
175:85654-85656	3.571429	0.746269	1.754386	0	0	0	0	0	0
175:85740-85742	0	0	1.219512	0	4.545455	0	0	0	0
175:85749-85751	0	0	0.60241	0	4.545455	0	2.777778	0	0
175:85754-85756	1.298701	0	0.60241	0	4.545455	0	2.857143	0	5.555556
175:85856-85858	0	2.941176	10.714286	0	0	0	4.761905	0	0
175:85875-85877	5.882353	2.325581	14	0	0	0	7.142857	0	15
175:85881-85883	2.272727	2.5	13.541667	0	0	0	9.090909	7.142857	15
175:85887-85889	2.272727	2.325581	10	1.639344	0	0	0	0	10
175:85913-85915	2.564103	2.631579	0	0	0	0	0	0	0
175:85931-85933	0	3.448276	6.666667	0	3.448276	3.030303	0	0	12.5
1760:67779-67781	0	0	4	0.769231	0.847458	1.026694	0	0	0
1760:67782-67784	0	0	3.703704	2.692308	0.423729	2.053388	0	0	0
1760:67801-67803	0	0	2.941176	96.875	100	83.870968	0	0	0
1760:67809-67811	0	0	2.564103	0.920387	0.696864	1.559294	0	10	0
1760:67814-67816	0	0	5.263158	1.287356	0.696864	2.051703	7.692308	0	0
1760:67818-67820	0	0	2.564103	1.79558	1.509872	1.973684	0	11.111111	0
1760:67822-67824	0	0	2.564103	1.01196	0.34823	1.394586	0	0	0
1760:67832-67834	0	0	2.380952	1.038375	0.56338	1.711783	0	0	0
1760:67846-67848	0	0	2.380952	2.304564	1.125492	3.14741	0	0	0
1760:67862-67864	3.125	0	2.380952	0.904568	0.338219	0.637196	0	0	7.142857
1760:67875-67877	0	4.347826	3.030303	2.797834	3.21489	3.387804	0	0	7.692308
1773:14882-14884	41.666667	80	100	77.419355	54.285714	42	77.777778	66.666667	100
1773:14886-14888	8.333333	40	61.538462	25.85034	17.647059	18.4	26.315789	33.333333	40
1773:14907-14909	7.692308	50	63.636364	47.619048	41.176471	25.6	63.636364	45.454545	71.428571
1773:14915-14917	15.384615	50	77.777778	62.585034	54.411765	35.2	68.181818	72.727273	78.571429
1773:14946-14948	27.272727	40	100	47.619048	44.117647	34.126984	60	61.538462	70
1773:14961-14963	60	40	100	84.353741	80.882353	55.555556	92	100	87.5
1773:15371-15373	37.5	57.142857	60	72.95082	85.585586	70.873786	83.333333	85.714286	76.923077
1773:15375-15377	44.444444	71.428571	50	63.114754	73.873874	39.805825	83.333333	14.285714	76.923077
1773:15387-15389	77.777778	71.428571	90	90.983607	61.261261	84.878049	83.333333	42.857143	66.666667
1773:15392-15394	55.555556	71.428571	40	50	70.27027	49.029126	83.333333	14.285714	33.333333
1773:15400-15402	37.5	62.5	60	50.819672	59.459459	50.970874	88.235294	0	50
1773:15404-15406	42.857143	75	90.909091	81.818182	90.09009	57.073171	93.75	28.571429	66.666667
1773:15437-15439	42.857143	77.777778	90	87.704918	73.873874	58.737864	94.117647	71.428571	85.714286
1773:15971-15973	40	66.666667	93.333333	35	19.047619	19.191919	90	85.714286	100
1773:15994-15996	55.555556	38.461538	72.222222	6.666667	10.714286	11.650485	75	66.666667	60
1773:15997-15999	20	38.461538	66.666667	10	8.333333	12.621359	90	66.666667	60
1773:16007-16009	45.454545	50	52.631579	13.333333	13.095238	15.533981	70	66.666667	62.5
1773:16009-16011	54.545455	50	84.210526	23.333333	9.52381	17.307692	70	66.666667	50
1773:16020-16022	30	35.714286	68.421053	28.333333	11.904762	10.679612	70	66.666667	62.5
1773:16047-16049	11.111111	28.571429	47.826087	11.666667	5.952381	10.576923	85.714286	80	33.333333
1773:16057-16059	11.111111	30.769231	68.181818	25	26.190476	15.238095	85.714286	60	66.666667
1773:16077-16079	44.444444	70	90	59.722222	85.714286	100	75	60	77.777778
1773:16086-16088	11.111111	66.666667	57.894737	35.211268	86.792453	60.377358	100	0	28.571429
1773:27610-27612	100	87.5	83.333333	20.512821	29.62963	42.105263	91.666667	88.888889	100
1773:27627-27629	66.666667	87.5	66.666667	31.707317	63.333333	54.545455	100	100	60
179:137856-137858	60	40	66.666667	4.854369	3.921569	5.714286	78.571429	88.888889	71.428571
179:137890-137892	16.666667	44.444444	10	0	0	0	29.411765	45.454545	66.666667
179:333919-333921	22.222222	72.727273	54.545455	20.689655	23.529412	15.555556	75	20	40
179:333928-333930	16.666667	66.666667	45.454545	24.137931	23.529412	33.333333	75	25	20
179:338097-338099	83.333333	83.333333	80	92.307692	90.909091	95.652174	94.444444	88.888889	100
179:338103-338105	85.714286	100	100	100	81.818182	60.869565	94.444444	100	100
179:338168-338170	57.142857	100	100	76.923077	81.818182	34.782609	94.444444	76.923077	100
179:338236-338238	50	100	80	87.5	90.909091	91.666667	81.818182	100	100
179:338240-338242	37.5	100	80	93.75	100	95.833333	91.666667	100	100
179:338251-338253	50	100	80	93.75	90.909091	91.666667	80	100	100
179:338257-338259	50	100	80	93.75	90.909091	100	90	100	100
18:354183-354185	20	0	11.111111	2.912621	0	0	0	10	0
18:354251-354253	0	0	0	2.912621	0	0	0	0	0
18:354266-354268	0	0	5.263158	2.912621	0	0	0	0	0
18:354270-354272	12.5	0	0	2.912621	0	3.883495	0	0	0
18:354279-354281	0	0	0	11.940299	0	1.886792	0	0	0
18:1193448-1193450	0	0	8	0.231481	2.749141	0.803213	0	0	0
18:1193463-1193465	0	0	0	0.694444	0.343643	0.534759	0	0	0
18:1193886-1193888	0	0	0	0.884956	0	0	0	0	0
18:1193905-1193907	0	0	0	0.884956	0	0.813008	0	0	14.285714
18:1193914-1193916	7.692308	0	0	7.462687	0	1.587302	0	0	0
18:1376034-1376036	3.448276	0	0	0.787402	0	0	0	0	0
1801:706-708	1.612903	0.8	2.212389	0.623769	0.694444	0.769231	0	12.5	3.571429
1801:797-799	0	1.136364	0.636943	0.459016	0.694006	1.461737	0	0	0
1801:802-804	0	6.382979	4.216867	0.492449	0.63012	1.538462	0	0	4
1801:821-823	0	4.109589	0	0.689882	0.504732	1.454234	0	0	0
1801:827-829	2.083333	2.816901	2.222222	0.655953	0.694006	1.030043	0	0	5.263158
1801:829-831	2.083333	5.555556	1.492537	0.426509	0.566394	1.197605	0	0	5
1801:833-835	0	2.777778	1.515152	0.655738	0.125945	0.598802	0	9.090909	0
1801:859-861	0	4.347826	0	0.426509	0.37831	0.683177	0	0	0
1801:877-879	4.444444	0	1.834862	4.342508	4.483188	3.275862	3.846154	0	0
181:305957-305959	3.125	0	2.439024	2.272727	21.621622	4.761905	0	0	0
1822:23099-23101	75	62.5	81.818182	54.545455	75	53.571429	100	40	0
