"","PolyA_1041","PolyA_1471","PolyA_1637","RiboDep_1041","RiboDep_1471","RiboDep_1637"
"g12113",117,99,93,264,114,187
"g12146",461,414,313,580,326,388
"g12148",13,31,8,107,75,88
"g12150",31,29,28,40,45,52
"g12154",307,235,245,158,74,127
"g12156",1208,520,450,1615,1096,1093
"g12167",30,23,20,31,46,38
"g12172",311,152,176,340,308,259
"g12175",116,84,69,122,109,146
"g12176",37,23,18,88,93,84
"g12180",117,61,82,38,22,32
"g12202",27,20,22,32,61,52
"g12192",0,0,0,266,88,129
"g12194",805,483,548,679,436,529
"g12235",679,457,531,1583,1094,1431
"g12237",2525,1904,1747,1955,2114,2207
"g12238",1335,784,976,1172,918,1415
"g12240",344,150,257,921,537,914
"g12241",50,51,50,283,187,342
"g12250",501,405,346,496,406,370
"g12256",0,0,0,28,18,29
"g12263",626,358,391,234,108,165
"g12275",58,44,51,101,52,64
"g12279",989,710,931,1212,1087,1196
"g12284",0,0,0,11,24,19
"g12283",273,247,197,580,315,431
"g12285",160,117,97,159,141,147
"g12303",985,601,601,363,165,268
"g12308",447,371,324,401,314,372
"g12313",1259,769,792,403,276,375
"g12317",0,0,0,9,7,6
"g12320",150,95,121,291,268,278
"g12321",443,382,339,486,313,324
"g12378",27,20,15,50,32,36
"g12394",18,11,12,52,18,25
"g12412",0,0,0,3,3,15
"g12430",13,6,14,119,0,113
"g12483",27,57,19,62,104,76
"g12475",1261,1162,1414,2452,2798,3524
"g12491",0,0,0,20,12,6
"g12502",249,126,128,346,207,335
"g12525",226,175,200,240,283,294
"g12567",0,0,0,3,8,15
"g12550",0,0,0,11,2,9
"g12548",7,2,6,26,15,16
"g12584",0,0,0,21,13,16
"g12585",0,0,0,18,8,25
"g12579",3,0,0,14,21,17
"g12582",227,209,166,92,50,64
"g12588",1762,1310,1295,775,445,556
"g12596",0,0,0,10,3,15
"g12592",266,197,193,127,73,85
"g12605",461,294,335,772,319,521
"g12608",399,305,271,201,113,131
"g12611",1044,546,617,801,606,665
"g12612",113,63,41,118,164,152
"g12613",158,43,89,233,154,162
"g12624",1063,828,755,435,287,372
"g12635",92,48,62,113,77,106
"g12640",289,138,179,323,190,276
"g12659",317,286,292,133,102,102
"g12675",12,0,14,84,114,88
"g12673",78,67,67,522,751,676
"g12676",752,682,616,346,250,344
"g12678",267,284,309,604,383,388
"g12677",174,171,162,278,146,246
"g12679",15,10,24,63,41,80
"g12685",7,18,4,43,30,39
"g12688",36,31,35,39,40,73
"g12702",196,172,123,45,53,69
"g12709",47,48,49,66,51,72
"g12713",0,0,0,20,5,26
"g12719",1336,1210,1020,1523,868,1079
"g12720",233,203,149,488,177,305
"g12724",396,431,280,748,379,593
"g12742",106,141,122,143,165,217
"g12743",288,208,288,299,228,240
"g12746",0,0,7,40,29,44
"g12753",14,21,19,42,40,32
"g12773",237,134,184,255,251,222
"g12769",137,49,88,225,133,164
"g12771",86,43,51,103,52,94
"g12777",366,164,94,577,319,282
"g12794",206,216,190,302,199,264
"g12793",79,78,31,125,62,113
"g12803",98,108,79,386,386,339
"g12804",136,89,74,211,184,183
"g12828",53,41,28,73,71,73
"g12831",105,82,83,416,261,345
"g12824",672,576,543,394,215,295
"g12827",90,51,43,141,58,84
"g12836",0,0,0,14,7,3
"g12841",0,0,0,16,7,5
"g12849",549,481,330,738,413,591
"g12912",0,0,0,12,7,4
"g12934",0,0,0,15,8,9
"g12936",59,49,43,89,72,92
"g12937",82,50,57,79,57,81
"g12941",174,110,185,313,265,335
"g12940",24,7,0,40,76,90
"g12961",104,71,94,137,101,139
"g12957",97,137,98,221,450,308
"g12962",19,23,29,51,40,45
"g12963",601,362,420,194,143,137
"g12964",242,222,222,140,64,67
"g12966",0,0,0,11,7,8
"g12977",0,0,0,10,3,4
"g12982",534,223,359,597,246,522
"g12988",181,164,130,245,149,186
"g13036",43,29,37,77,52,37
"g13033",0,0,0,21,16,19
"g13034",0,0,0,11,17,29
"g13041",1010,927,799,502,328,406
"g13043",310,285,235,664,502,639
"g13044",37,26,19,133,87,117
"g13059",198,108,184,249,128,183
"g13056",110,101,152,168,152,144
"g13058",1040,704,744,231,300,275
"g13072",445,373,323,250,109,170
"g13074",0,0,0,116,55,64
"g13070",64,73,53,86,76,121
"g13076",566,525,532,225,151,274
"g13077",100,92,62,159,81,127
"g13092",59,53,48,198,135,181
"g13091",3591,3036,2829,1799,1225,1520
"g13097",534,614,557,204,227,198
"g13112",0,0,0,7,3,11
"g13117",142,153,131,253,140,198
"g13141",214,99,176,261,149,224
"g13154",187,103,191,76,34,61
"g13168",2893,2010,1735,1180,679,748
"g13170",573,413,381,491,553,393
"g13175",140,128,162,355,312,400
"g13177",0,0,0,4,18,9
"g13181",622,373,401,497,584,573
"g13186",20,20,10,27,32,40
"g13220",12,23,17,42,39,30
"g13237",252,99,59,447,222,246
"g13241",416,332,308,154,121,132
"g13244",122,49,76,103,88,104
"g13255",196,108,125,291,327,219
"g13278",127,52,69,224,124,137
"g13258",1281,850,799,485,281,340
"g13265",19,14,19,27,54,37
"g13292",217,166,129,349,163,283
"g13293",74,64,41,141,57,63
"g13294",0,0,0,16,27,24
"g13291",380,344,268,712,481,500
"g13303",24,6,5,33,47,31
"g13304",278,230,211,215,240,296
"g13352",0,0,0,19,27,14
"g13359",7,22,11,93,56,85
"g13358",59,38,52,179,58,146
"g13371",194,159,116,263,283,282
"g13366",359,291,247,1634,688,1045
"g13367",389,292,210,764,483,519
"g13387",0,0,0,8,8,8
"g13389",104,45,68,276,222,249
"g13397",4,0,0,46,33,23
"g13409",100,74,82,132,99,79
"g13404",191,405,225,377,370,366
"g13434",90,87,81,156,139,145
"g13429",0,0,0,34,21,14
"g13427",40,14,41,87,80,87
"g13433",399,377,235,174,94,121
"g13435",282,208,227,261,245,277
"g13437",6222,4261,6237,2110,1734,2686
"g13453",229,161,124,415,204,217
"g13458",0,0,0,20,16,17
"g13479",0,0,0,9,1,9
"g13488",0,0,0,20,5,12
"g13507",3,4,0,38,28,38
"g13506",1241,642,718,441,277,380
"g13511",0,0,3,25,28,27
"g13516",91,63,72,36,20,22
"g13522",0,0,0,32,17,21
"g13526",107,76,79,177,186,219
"g13529",4,4,0,21,13,7
"g13531",6,8,2,28,14,22
"g13540",167,78,125,235,100,154
"g13554",10,8,7,288,485,284
"g13556",12,22,7,424,344,391
"g13557",9,0,8,230,161,209
"g13560",0,0,0,24,10,16
"g13558",20,63,0,322,300,291
"g13559",8,0,7,44,34,46
"g13568",947,986,786,476,274,304
"g13570",98,84,83,182,90,122
"g13572",15,17,22,50,41,27
"g13574",799,859,671,369,272,315
"g13586",16,9,0,88,53,76
"g13590",88,71,38,112,89,117
"g13591",114,84,77,103,97,120
"g13594",18,19,5,55,28,29
"g13596",396,234,204,510,262,238
"g13651",40,19,27,59,56,70
"g13656",454,233,258,483,598,572
"g13686",173,142,167,84,47,64
"g13704",6,0,0,53,27,6
"g13690",212,115,135,242,177,164
"g13691",274,120,168,424,260,278
"g13692",317,172,185,264,204,215
"g13732",682,373,596,687,500,665
"g13733",1793,918,1304,754,403,628
"g13745",0,0,0,22,16,6
"g13761",32,48,39,59,47,60
"g13773",0,0,0,17,4,9
"g13795",0,0,0,8,4,8
"g13800",215,148,197,97,69,70
"g13813",154,165,149,224,152,220
"g13823",96,33,49,279,51,128
"g13864",5,10,6,28,17,29
"g13836",113,81,79,117,87,110
"g13838",1187,1101,947,1140,1186,1289
"g13888",243,199,199,216,184,192
"g13893",0,5,8,98,57,59
"g13894",0,0,0,83,40,66
"g13892",5,0,1,38,25,25
"g13897",766,551,402,311,150,259
"g13926",39,37,23,70,50,103
"g13943",210,171,75,444,484,354
"g13957",16,12,7,41,46,38
"g13960",19,15,5,32,51,60
"g13961",479,322,229,393,318,330
"g13962",1093,487,432,1702,476,773
"g13964",51,40,25,85,34,68
"g13974",0,0,0,20,8,14
"g14005",642,389,375,281,145,155
"g14015",241,223,263,109,65,89
"g14021",0,0,0,12,3,8
"g14017",529,183,228,753,242,420
"g14131",21,44,35,147,105,260
"g14133",21,0,21,88,57,161
"g14136",222,165,114,189,309,228
"g14151",54,36,31,82,94,59
"g14160",264,204,145,100,69,67
"g14161",0,0,0,110,47,53
"g14167",0,3,0,26,7,11
"g14172",0,0,0,37,17,27
"g14166",25,59,22,85,82,75
"g14171",919,633,543,374,267,312
"g14173",291,168,197,223,171,224
"g14176",245,162,248,653,465,603
"g14178",88,68,122,284,190,224
"g14175",945,674,736,908,537,720
"g14179",25,24,25,43,32,36
"g14213",1066,803,876,1224,1763,1347
"g14214",1202,879,799,2493,2982,2431
"g14218",2008,1901,1431,899,561,665
"g14219",525,442,390,674,502,585
"g14221",155,219,124,467,235,322
"g14231",22,34,20,30,49,61
"g14236",0,0,0,17,20,13
"g14234",146,98,55,234,180,70
"g14261",208,140,128,453,449,374
"g14265",294,218,218,259,205,201
"g14275",0,0,0,32,50,41
"g14278",466,355,292,1641,671,1000
"g14301",616,374,389,248,132,221
"g14310",169,350,328,236,978,668
"g14311",12,3,12,27,19,24
"g14323",1436,1206,1181,793,461,610
"g14329",536,527,484,225,173,153
"g14336",1240,624,759,1818,1084,1343
"g14342",0,0,0,6,7,11
"g14333",13,13,7,53,57,49
"g14338",518,393,386,159,160,209
"g14377",0,12,0,55,26,54
"g14384",58,30,39,61,54,53
"g14396",447,321,453,213,158,172
"g14404",879,890,729,334,346,366
"g14440",0,0,0,8,14,10
"g14425",1531,831,1093,502,314,504
"g14448",851,727,503,329,291,245
"g14462",38,20,17,81,41,39
"g14512",386,214,282,343,231,363
"g14520",0,0,0,15,10,13
"g14525",55,79,58,127,84,129
"g14519",0,0,0,67,46,56
"g14524",920,631,759,1046,910,1233
"g14533",28,29,20,111,63,61
"g14537",0,0,0,31,17,23
"g14540",707,466,533,1043,574,660
"g14549",81,22,34,287,143,178
"g14548",30,26,0,128,70,83
"g14554",511,286,368,180,128,173
"g14552",265,147,135,341,150,225
"g14619",628,501,501,261,201,222
"g14623",196,128,215,80,53,70
"g14636",309,230,212,346,230,285
"g14649",50,20,36,51,52,62
"g14673",315,259,245,429,358,361
"g14677",63,79,68,96,100,84
"g14681",412,135,138,738,483,511
"g14680",886,484,385,845,502,628
"g14685",917,967,899,1139,922,1053
"g14686",65,32,54,231,160,180
"g14690",17,0,12,60,18,48
"g14702",75,38,69,78,67,84
"g14704",91,68,73,228,189,244
"g14705",33,5,7,75,68,70
"g14717",0,0,0,51,22,35
"g14718",0,0,0,54,5,18
"g14719",0,0,0,49,11,14
"g14720",0,0,0,51,23,27
"g14722",97,27,45,243,55,91
"g14728",0,0,0,39,9,47
"g14729",0,0,0,134,15,69
"g14730",0,0,0,65,7,45
"g14731",258,197,255,704,243,464
"g14733",295,111,151,464,217,276
"g14738",4655,6859,4879,6076,5734,6535
"g14739",604,946,527,5125,5423,6126
"g14749",0,0,0,13,8,6
"g14760",768,573,618,329,205,277
"g14768",0,0,0,28,22,45
"g14772",53,10,29,78,47,60
"g14783",6,3,2,11,13,21
"g14800",88,75,61,27,19,32
"g14802",156,161,139,496,504,479
"g14808",315,215,271,119,112,90
"g14816",76,41,43,266,145,219
"g14831",43,31,44,75,42,42
"g14835",619,466,425,735,844,801
"g14837",328,386,289,688,535,665
"g14857",184,149,116,376,139,174
"g14851",0,0,0,10,8,8
"g14842",41,17,30,182,26,76
"g14843",3635,2684,2257,3244,2155,2593
"g14844",177,140,143,73,53,59
"g14864",299,302,260,457,223,240
"g14865",34,41,53,140,90,132
"g14867",49,22,21,123,50,58
"g14871",150,120,113,169,104,109
"g14875",373,388,339,339,456,578
"g14887",0,0,0,11,11,16
"g14906",79,38,75,110,79,84
"g14910",109,94,106,55,19,36
"g14924",0,0,0,52,19,38
"g14959",4,0,0,20,17,36
"g14964",0,0,0,15,8,11
"g14978",89,73,35,120,106,71
"g14987",430,328,270,168,129,128
"g15017",63,52,68,111,98,112
"g15022",163,88,124,67,33,32
"g15036",70,49,42,82,58,50
"g15039",115,122,105,492,476,413
"g15042",0,0,0,48,58,57
"g15054",32,47,31,68,44,53
"g15059",2,0,0,46,8,12
"g15057",163,123,108,243,210,187
"g15080",42,52,63,178,123,114
"g15082",67,68,42,139,64,102
"g15083",1036,696,711,1388,638,867
"g15084",325,197,160,291,217,229
"g15089",1018,849,764,443,368,396
"g15092",0,0,0,104,30,72
"g15095",150,84,78,292,259,222
"g15114",3,3,0,16,6,12
"g15139",7,0,2,31,19,31
"g15159",0,0,0,19,33,45
"g15162",21,18,19,45,25,49
"g15165",345,341,317,114,68,162
"g15172",1112,699,643,1188,572,741
"g15176",59,69,45,219,137,173
"g15179",191,100,114,250,213,253
"g15187",0,0,0,31,23,34
"g15199",62,44,29,70,82,128
"g15200",126,79,93,121,76,104
"g15213",7,3,14,31,23,14
"g15224",31,24,36,72,107,140
"g15233",80,101,87,117,159,103
"g15268",170,113,93,228,141,144
"g15265",646,522,558,352,243,288
"g15270",250,188,224,99,60,84
"g15273",90,58,71,116,92,105
"g15275",259,175,170,316,178,242
"g15284",8,4,18,33,26,23
"g15276",128,101,124,249,129,198
"g15278",189,120,168,228,180,191
"g15285",0,0,0,3,7,7
"g15289",105,43,55,770,373,561
"g15298",1108,765,969,395,206,384
"g15314",363,107,138,457,317,425
"g15320",147,70,52,171,89,123
"g15335",134,154,80,159,140,184
"g15330",351,360,352,529,649,697
"g15351",40,58,34,98,178,77
"g15369",0,0,0,75,35,48
"g15370",102,74,39,163,149,124
"g15371",294,217,172,557,599,537
"g15375",97,71,81,155,98,86
"g15376",85,64,50,160,65,128
"g15381",484,278,292,192,98,122
"g15428",1201,890,965,361,391,381
"g15431",27,23,11,52,64,104
"g15432",0,0,0,39,14,24
"g15436",0,0,0,15,14,21
"g15468",149,121,123,212,91,179
"g15466",106,50,51,126,82,78
"g15467",226,153,101,395,201,330
"g15478",102,107,100,150,112,106
"g15471",9239,7540,7587,7788,7737,8520
"g15506",2,0,0,21,5,4
"g15516",237,270,148,111,67,56
"g15489",0,0,0,11,8,7
"g15491",391,226,224,659,354,493
"g15543",1276,1017,762,2076,1181,1431
"g15546",53,53,38,239,122,187
"g15547",143,130,101,428,296,416
"g15551",0,0,0,8,4,5
"g15541",295,191,198,111,86,98
"g15544",100,118,80,440,365,326
"g15549",36,36,26,336,186,250
"g15584",257,147,225,499,219,319
"g15635",79,80,69,121,66,128
"g15650",87,45,40,145,55,104
"g15654",39,52,71,557,364,550
"g15656",164,100,169,157,154,232
"g15660",241,91,147,540,377,393
"g15663",425,237,251,487,578,553
"g15670",360,326,301,130,114,137
"g15677",689,427,419,760,369,489
"g15688",865,547,516,780,597,830
"g15690",338,360,307,381,351,326
"g15686",1003,629,505,2836,1584,2586
"g15687",1707,1279,1224,1805,1064,1348
"g15689",311,226,251,302,265,344
"g15714",61,31,38,68,104,68
"g15707",3034,1660,1853,2333,2310,2467
"g15717",568,826,422,920,911,753
"g15728",252,140,191,205,374,195
"g15727",215,185,142,388,310,419
"g15756",106,199,266,333,341,610
"g15762",195,116,111,337,138,193
"g15769",113,86,107,207,143,238
"g15771",49,36,42,101,76,97
"g15773",0,0,0,34,17,19
"g15775",0,0,0,15,16,18
"g15776",157,82,77,171,105,139
"g15777",69,74,65,418,340,342
"g15780",50,54,60,84,70,68
"g15778",223,124,180,192,190,245
"g15779",54,32,43,65,73,76
"g15786",14,21,21,58,45,40
"g15787",0,0,0,28,16,19
"g15789",402,248,292,162,93,103
"g15809",0,0,0,7,4,5
"g15803",20,35,21,54,36,41
"g15828",0,0,0,41,26,14
"g15817",0,7,6,16,23,29
"g15818",0,0,0,4,5,7
"g15820",118,66,106,243,174,351
"g15840",22,25,13,55,44,52
"g15851",272,266,208,249,397,303
"g15865",849,1112,908,2171,3438,3416
"g15866",532,780,665,3290,4031,3949
"g15870",60,86,57,373,376,478
"g15892",48,34,25,72,63,64
"g15897",531,361,355,198,136,188
"g15912",418,464,357,1082,967,1056
"g15906",430,270,260,622,491,549
"g15907",137,68,108,179,139,144
"g15908",2915,1741,2107,3041,2687,3498
"g15917",0,0,0,92,83,72
"g15913",77,59,45,115,65,76
"g15915",1020,1079,881,1029,861,997
"g15916",496,436,471,193,156,249
"g15924",23,11,20,141,90,132
"g15921",239,234,149,548,189,367
"g15925",18,11,12,50,24,24
"g15926",390,390,499,151,128,184
"g15928",103,72,92,152,69,128
"g15934",212,203,257,78,69,80
"g15942",525,357,417,213,188,195
"g15945",861,430,549,281,167,241
"g15953",119,56,64,117,126,142
"g15954",194,194,148,95,42,56
"g15961",92,64,135,111,157,214
"g15966",15,13,10,26,15,34
"g15973",441,419,293,141,144,130
"g15993",10,8,11,35,19,30
"g16024",47,47,22,106,69,53
"g16027",86,48,72,125,77,101
"g16028",69,92,80,129,98,91
"g16029",3,0,0,16,11,8
"g16033",766,701,478,311,185,313
"g16037",667,576,533,258,185,211
"g16042",53,62,32,103,50,87
"g16050",99,66,74,421,182,280
"g16047",0,0,0,6,11,9
"g16048",1508,1018,920,1670,737,1026
"g16069",1549,1404,1015,781,532,604
"g16072",15,14,9,16,28,43
"g16074",1015,688,792,1037,632,838
"g16075",337,255,248,757,851,967
"g16076",0,0,0,74,84,93
"g16077",306,264,142,929,982,1026
"g16078",36,47,30,252,169,195
"g16081",48,49,57,113,36,79
"g16082",1205,826,1130,428,291,465
"g16106",16,12,0,56,34,33
"g16110",166,55,65,99,166,184
"g16121",121,132,95,200,209,219
"g16124",234,136,164,274,122,237
"g16148",22,22,31,94,58,110
"g16151",75,47,59,152,56,95
"g16194",0,1,0,8,5,5
"g16228",511,338,365,196,125,126
"g16252",10,12,13,26,24,30
"g16263",43,37,44,50,53,54
"g16255",73,41,96,167,62,99
"g16257",90,52,53,103,60,105
"g16261",218,215,225,110,67,91
"g16267",265,138,161,803,850,806
"g16268",425,292,309,1084,829,1086
"g16281",97,72,98,210,181,250
"g16289",0,0,0,15,3,7
"g16291",564,264,330,404,542,443
"g16271",5347,3913,3782,4845,3277,3868
"g16309",251,144,168,270,158,219
"g16310",244,79,117,679,453,472
"g16341",52,32,35,75,56,51
"g16344",197,146,247,255,320,379
"g16339",232,315,272,133,50,108
"g16364",0,0,0,9,10,9
"g16390",273,108,155,330,149,226
"g16410",7,5,9,20,14,22
"g16406",220,125,170,174,188,256
"g16415",266,240,198,333,629,419
"g16424",81,126,112,174,151,180
"g16445",1452,1641,1332,601,604,606
"g16461",724,514,402,293,135,177
"g16465",524,248,327,513,426,426
"g16476",163,136,168,89,37,54
"g16517",278,144,175,63,55,89
"g16516",45,14,25,66,40,59
"g16523",349,290,320,201,103,134
"g16527",6362,5357,5167,2321,1392,2039
"g16529",40,31,20,66,74,96
"g16530",85,35,57,106,71,116
"g16567",183,110,114,36,44,55
"g16605",92,91,73,227,120,151
"g16607",0,0,0,25,21,38
"g16597",472,379,345,680,692,829
"g16599",536,490,442,228,133,194
"g16615",59,41,40,195,89,144
"g16641",112,142,89,229,261,217
"g16646",0,0,0,6,13,11
"g16647",267,196,168,66,58,89
"g16662",791,573,518,348,279,266
"g16695",5,12,8,47,26,24
"g16709",0,0,0,38,24,31
"g16782",11,12,9,28,18,21
"g16787",2744,2534,1956,1445,757,1041
"g16789",148,142,111,66,44,46
"g16791",610,514,462,264,207,266
"g16800",0,0,0,9,7,15
"g16793",0,0,0,84,37,77
"g16799",2662,2007,1886,1332,1005,998
"g16807",17,15,9,52,18,33
"g16830",297,261,230,448,317,365
"g16831",119,97,80,285,100,182
"g16838",188,66,92,719,208,541
"g16841",0,0,0,35,6,13
"g16842",1427,886,1201,2104,1073,1732
"g16850",156,139,133,86,43,49
"g16853",401,342,449,161,98,158
"g16858",82,42,18,188,123,155
"g16860",1674,1518,1377,1949,1354,1780
"g16859",163,104,96,144,151,147
"g16863",353,287,250,129,99,126
"g16913",0,0,0,4,19,8
"g16918",40,34,15,86,37,61
"g16917",88,63,82,512,219,342
"g16927",113,89,95,270,279,271
"g16929",240,197,200,256,240,313
"g16922",183,356,149,369,354,349
"g16931",599,346,269,592,301,393
"g16934",500,354,340,437,416,369
"g16947",0,0,0,68,23,42
"g16948",371,334,350,1094,790,1097
"g16951",316,158,196,537,356,646
"g16969",0,0,0,8,6,5
"g16995",0,0,0,5,8,3
"g17013",0,0,2,9,7,8
"g17019",0,0,0,8,7,4
"g17031",142,165,122,235,144,157
"g17038",206,170,137,58,68,52
"g17047",147,151,169,62,45,68
"g17065",0,0,0,6,6,9
"g17060",422,283,216,130,72,104
"g17062",452,289,274,530,454,416
"g17069",279,195,242,306,181,234
"g17077",38,0,14,100,77,88
"g17090",696,501,453,260,122,226
"g17097",0,0,0,15,12,10
"g17118",0,0,0,25,20,13
"g17101",277,243,262,129,85,128
"g17162",97,58,54,116,115,84
"g17174",19,34,36,67,62,71
"g17176",0,0,0,8,12,8
"g17175",10,7,10,37,28,41
"g17183",180,139,195,254,141,229
"g17193",30,29,34,49,40,42
"g17185",18,41,13,190,349,298
"g17186",94,166,97,301,300,316
"g17187",136,185,108,275,167,211
"g17184",16,0,0,46,68,66
"g17205",966,710,688,387,242,361
"g17208",293,236,182,281,163,220
"g17211",20,51,52,61,144,76
"g17209",1103,804,748,2406,2314,2601
"g17213",17,12,12,28,25,22
"g17243",278,224,260,374,258,304
"g17245",72,116,45,182,285,213
"g17254",3392,2563,2164,1199,620,910
"g17257",217,196,200,425,253,343
"g17258",473,415,471,217,124,140
"g17275",0,0,0,14,2,23
"g17333",0,0,0,22,9,25
"g17340",7904,2817,2516,2289,1111,1128
"g17343",904,610,641,446,180,256
"g17397",0,0,4,41,22,38
"g17395",0,0,0,11,2,5
"g17372",124,118,73,177,76,135
"g17375",1204,565,490,1565,589,771
"g17377",0,0,0,33,3,15
"g17365",96,12,58,263,65,90
"g17369",801,683,496,394,168,286
"g17376",294,163,110,687,229,266
"g17399",81,24,5,587,55,97
"g17457",3,12,8,50,25,54
"g17450",396,372,307,419,367,404
"g17451",57,57,65,118,68,105
"g17470",0,0,0,27,13,17
"g17474",0,0,0,32,44,19
"g17472",64,126,59,142,147,142
"g17481",254,212,214,307,187,291
"g17482",21,17,28,34,39,40
"g17484",0,0,0,64,58,79
"g17483",842,534,651,322,224,321
"g17506",7,7,20,33,19,29
"g17513",62,54,70,74,98,85
"g17509",644,452,414,317,180,256
"g17511",230,191,121,324,251,231
"g17516",17,25,18,54,43,79
"g17521",113,93,73,140,88,121
"g17523",493,324,289,183,98,147
"g17525",0,0,0,65,28,36
"g17527",18,35,19,71,48,60
"g17530",295,303,300,723,629,755
"g17543",1349,747,896,1014,815,822
"g17545",952,674,551,935,588,677
"g17566",539,443,477,257,183,240
"g17578",675,319,379,257,90,126
"g17590",78,48,28,121,96,89
"g17592",21,21,19,80,91,104
"g17597",149,162,175,167,253,207
"g17617",18,54,26,102,105,108
"g17628",96,90,80,41,24,25
"g17638",66,60,66,90,91,63
"g17633",235,175,155,378,225,280
"g17634",155,134,71,235,89,152
"g17637",103,51,64,161,51,95
"g17667",238,235,179,447,406,495
"g17677",9,26,19,45,51,57
"g17673",159,100,95,57,35,28
"g17676",20,36,20,63,36,39
"g17695",51,43,17,215,203,202
"g17694",82,100,76,464,329,397
"g17696",15,39,29,209,156,171
"g17697",0,0,15,82,57,62
"g17699",16,44,23,148,74,100
"g17689",0,0,0,12,9,10
"g17691",0,0,0,6,7,10
"g17687",29,18,18,48,27,40
"g17717",47,39,30,103,111,107
"g17772",0,0,0,38,12,16
"g17773",105,92,73,155,147,152
"g17776",788,531,517,263,185,190
"g17785",3,2,3,16,3,18
"g17778",471,221,236,426,318,284
"g17779",48,26,54,89,60,57
"g17799",494,491,394,246,181,216
"g17802",52,26,66,123,46,74
"g17803",245,130,180,356,108,252
"g17805",3837,3181,2728,7164,5095,6119
"g17806",41,45,20,86,57,62
"g17819",0,0,0,19,11,17
"g17828",815,453,594,788,757,914
"g17837",665,283,307,901,387,497
"g17865",28,36,32,140,123,143
"g17905",48,58,43,118,64,92
"g17897",0,0,0,90,53,62
"g17917",503,305,401,489,405,488
"g17940",337,340,295,174,124,146
"g17944",78,38,32,184,69,129
"g17952",195,178,140,91,58,54
"g17965",4,22,9,143,109,141
"g17958",206,162,114,291,153,177
"g17969",0,0,0,6,15,7
"g17968",4,0,3,23,24,22
"g17970",2,0,0,58,28,71
"g17971",8,11,0,327,60,128
"g17972",13,0,15,120,14,68
"g17973",177,96,173,680,556,752
"g17978",129,127,100,212,102,132
"g17984",49,23,42,85,53,62
"g17986",42,32,24,81,60,86
"g17991",68,47,45,65,150,99
"g17988",134,104,138,275,209,272
"g17989",37,31,42,111,39,91
"g17997",1859,1048,1290,674,419,560
"g17998",0,0,0,71,22,57
"g18004",341,242,235,436,201,332
"g18007",64,53,50,87,44,77
"g18012",666,611,676,267,185,285
"g18016",52,42,31,69,68,58
"g18014",131,72,143,168,110,143
"g18027",13,15,20,30,28,33
"g18020",22,21,21,52,48,51
"g18031",829,846,759,382,321,422
"g18034",65,39,37,109,72,149
"g18033",119,94,131,123,116,151
"g18048",134,129,118,58,39,56
"g18068",0,0,0,44,30,30
"g18065",143,69,89,159,109,123
"g18102",1682,1167,1067,3183,1607,2292
"g18104",959,579,717,1372,981,1318
"g18109",190,206,168,283,307,321
"g18110",211,299,282,417,371,367
"g18128",300,174,229,87,69,78
"g18147",7,7,5,18,13,13
"g18166",127,74,132,220,76,155
"g18170",226,91,165,329,331,431
"g18171",289,132,163,318,158,268
"g18173",2563,1576,2005,944,548,783
"g18185",0,0,0,33,9,13
"g18179",0,0,12,50,18,52
"g18174",1164,1101,1066,635,457,532
"g18193",4,5,3,17,9,10
"g18209",98,90,104,133,91,91
"g18216",0,13,0,48,75,95
"g18218",0,0,5,25,30,24
"g18215",20,9,25,68,138,158
"g18248",0,0,0,11,12,13
"g18253",12,16,20,55,30,48
"g18297",779,282,483,1035,365,716
"g18299",55,0,47,226,100,156
"g18312",65,102,79,250,257,265
"g18322",4,0,0,270,190,327
"g18323",25,41,60,423,273,515
"g18324",328,526,427,919,582,863
"g18349",62,48,37,100,31,91
"g18350",18,0,11,47,30,54
"g18348",487,463,348,825,459,752
"g18381",1,2,1,8,8,7
"g18400",74,32,50,165,96,104
"g18406",616,439,357,226,166,168
"g18412",3343,1562,2715,1079,415,1259
"g18418",152,160,125,529,344,362
"g18429",0,0,0,14,10,15
"g18428",52,67,42,200,106,207
"g18454",78,42,64,923,692,828
"g18433",0,0,0,20,10,6
"g18434",0,0,0,13,3,9
"g18431",211,241,150,262,241,322
"g18463",47,29,34,57,38,48
"g18464",152,152,48,204,134,188
"g18470",210,236,181,67,80,72
"g18479",171,181,96,70,44,37
"g18472",347,248,255,107,120,83
"g18484",229,250,182,404,258,265
"g18494",0,9,4,38,32,43
"g18493",14,14,6,21,21,31
"g18495",14,5,4,40,29,27
"g18498",578,557,405,741,601,577
"g18507",63,70,59,161,102,96
"g18521",13,5,21,50,29,41
"g18531",108,82,120,160,259,243
"g18532",0,0,0,13,4,18
"g18533",41,43,25,75,74,81
"g18536",142,70,75,140,103,109
"g18550",23,26,7,46,31,35
"g18562",17,21,9,36,33,34
"g18570",270,217,241,482,412,528
"g18568",518,467,467,498,415,530
"g18577",28,4,27,49,38,49
"g18587",142,72,92,319,253,253
"g18595",339,186,221,445,236,371
"g18610",327,212,290,136,70,95
"g18613",455,334,290,157,113,131
"g18616",0,0,0,19,11,19
"g18618",325,281,224,513,267,327
"g18628",116,85,85,40,32,27
"g18631",661,578,656,370,255,274
"g18632",884,873,703,798,634,797
"g18633",522,456,356,845,663,748
"g18661",0,0,0,10,26,15
"g18662",432,209,248,135,65,120
"g18669",497,322,235,356,360,422
"g18683",618,517,436,258,211,200
"g18702",748,801,732,408,247,306
"g18714",12,7,17,82,42,68
