Orthogroup	Pocillopora_acuta_protein	Mcap.protein
OG0000287	g54883	augustus.g56575.t1, augustus.g60625.t1, adi2mcaRNA10485_R1, augustus.g40536.t1, adi2mcaRNA10485_R4, adi2mcaRNA10485_R6
OG0000288	g3192	augustus.g28467.t1, augustus.g58179.t1, augustus.g28470.t1, augustus.g28472.t1, augustus.g28469.t1, augustus.g28477.t1, augustus.g28475.t1, adi2mcaRNA1106_R1, augustus.g28466.t1
OG0000289	g51267	adi2mcaRNA26551_R0
OG0000289	g25879	adi2mcaRNA17435_R8
OG0000289	g51266, g21745	adi2mcaRNA12469_R9, adi2mcaRNA12469_R8, adi2mcaRNA12469_R2
OG0000290	g54277, g12422, g12433, g318, g12414	adi2mcaRNA33843_R7, adi2mcaRNA15011_R7, adi2mcaRNA39862_R7, adi2mcaRNA14205_R6, adi2mcaRNA14205_R8
OG0000291	g7986	adi2mcaRNA19051_R8
OG0000291	g49902, g49887, g20663, g49921, g49909, g20657	adi2mcaRNA19051_R2, adi2mcaRNA19051_R0
OG0000293	g28172	adi2mcaRNA22596_R1, adi2mcaRNA22596_R0, adi2mcaRNA22596_R8, adi2mcaRNA22596_R3, adi2mcaRNA22596_R2, adi2mcaRNA22596_R6, adi2mcaRNA22596_R4, augustus.g5378.t1, augustus.g60820.t1
OG0000294	g35776, g45847, g59144, g35775, g382, g59157, g383, g59155	adi2mcaRNA39113_R0, adi2mcaRNA23379_R2
OG0000295	g55105, g60628	augustus.g18064.t1, augustus.g7080.t1, augustus.g7079.t1, adi2mcaRNA25433_R6, augustus.g18058.t1, augustus.g7083.t1, augustus.g18063.t1, augustus.g7081.t1
OG0000296	g20250, g44159, g26869, g52188	adi2mcaRNA25564_R8, adi2mcaRNA25564_R3, adi2mcaRNA25564_R5, adi2mcaRNA25564_R7, adi2mcaRNA25564_R6, adi2mcaRNA25564_R0
OG0000297	g57898, g38348, g38815, g38353, g39058, g59071, g58080	augustus.g42857.t1, augustus.g18399.t1, adi2mcaRNA26674_R4
OG0000298	g63255, g49600, g61137	augustus.g32589.t1, augustus.g38470.t1, augustus.g57852.t1, augustus.g69769.t1, adi2mcaRNA29889_R2, adi2mcaRNA29889_R7, adi2mcaRNA29889_R1
OG0000299	g8983, g36669, g7063	adi2mcaRNA30545_R9, adi2mcaRNA30545_R8, adi2mcaRNA30545_R5, adi2mcaRNA30545_R4, adi2mcaRNA30545_R3, adi2mcaRNA30545_R7, adi2mcaRNA30545_R6
OG0000300	g56618	augustus.g65322.t1, adi2mcaRNA33038_R9, augustus.g13204.t1, augustus.g37848.t1, augustus.g37852.t1, augustus.g37839.t1, augustus.g56400.t1, augustus.g14815.t1, augustus.g19215.t1
OG0000301	g17381	adi2mcaRNA34327_R0
OG0000301	g61928, g6193, g35441, g17294, g12013, g52073, g15474	augustus.g5222.t1
OG0000302	g3802	adi2mcaRNA34649_R1, augustus.g42465.t1, augustus.g50858.t1, augustus.g30726.t1, augustus.g12118.t1, augustus.g21927.t1, augustus.g50859.t1, augustus.g42454.t1, augustus.g42464.t1
OG0000303	g51528, g53034, g7769, g58745	adi2mcaRNA34735_R0, augustus.g45374.t1, augustus.g53249.t1, augustus.g62339.t1, augustus.g11192.t1, augustus.g21896.t1
OG0000304	g42039, g38980, g52181	adi2mcaRNA37385_R1, adi2mcaRNA37385_R0, adi2mcaRNA37385_R8, adi2mcaRNA37385_R3, adi2mcaRNA37385_R4, adi2mcaRNA37385_R6, adi2mcaRNA37385_R7
OG0000305	g53014	augustus.g29973.t1, augustus.g35387.t1, adi2mcaRNA37732_R8, augustus.g35393.t1, augustus.g35392.t1, augustus.g35390.t1, augustus.g29969.t1, augustus.g29965.t1, augustus.g27939.t1
OG0000306	g3772, g10174	augustus.g56313.t1, augustus.g7947.t1, augustus.g56062.t1, augustus.g28851.t1, augustus.g17329.t1, adi2mcaRNA38424_R2, adi2mcaRNA38424_R4, adi2mcaRNA38424_R3
OG0000307	g43017	augustus.g17110.t1, augustus.g1578.t1, augustus.g21327.t1, adi2mcaRNA38535_R9, augustus.g20868.t1, augustus.g11983.t1, augustus.g68508.t1, augustus.g56562.t1, augustus.g56565.t1
OG0000308	g48281	adi2mcaRNA40897_R8, adi2mcaRNA40897_R3, adi2mcaRNA40897_R4, adi2mcaRNA40897_R9
OG0000308	g48280	augustus.g35600.t1, augustus.g21788.t1, augustus.g41800.t1, augustus.g31081.t1
OG0000309	g16770	augustus.g63337.t1
OG0000309	g27353, g27356, g16763, g16764	adi2mcaRNA4856_R0, adi2mcaRNA4856_R1, augustus.g63333.t1, augustus.g32488.t1
OG0000311	g1958, g55131, g1977, g59819, g41041, g1981	augustus.g30711.t1, augustus.g30709.t1, augustus.g30692.t1, adi2mcaRNA7843_R0
OG0000312	g64041, g2216, g49938, g49027, g41332, g32014, g45008, g42714, g45197	adi2mcaRNA9382_R0
OG0000313	g32374, g21361, g40926	augustus.g15997.t1, augustus.g4494.t1, augustus.g16328.t1, augustus.g10531.t1, augustus.g5100.t1, augustus.g25852.t1, augustus.g29990.t1
OG0000314	g22904, g53808, g39782, g39781, g53810	augustus.g12580.t1, augustus.g69360.t1, augustus.g10591.t1, augustus.g12576.t1, augustus.g69346.t1
OG0000315	g53324, g51484, g49153	augustus.g24246.t1, augustus.g53858.t1, augustus.g69170.t1, augustus.g1172.t1, augustus.g58955.t1, augustus.g384.t1, augustus.g66903.t1
OG0000316	g53365, g40737	augustus.g40477.t1, augustus.g1216.t1, augustus.g44614.t1, augustus.g48233.t1, augustus.g48435.t1, augustus.g5086.t1, augustus.g1215.t1, augustus.g12300.t1
OG0000317	g6924	augustus.g4495.t1
OG0000317	g60194, g32875, g54707	augustus.g39337.t1, augustus.g12766.t1, augustus.g64214.t1, augustus.g19392.t1, augustus.g8063.t1
OG0000318	g344	augustus.g4045.t1
OG0000318	g46823	augustus.g12771.t1, augustus.g941.t1
OG0000318	g60092, g11810, g39532, g32844	augustus.g45691.t1
OG0000319	g25905, g57035	augustus.g35856.t1, augustus.g16039.t1, augustus.g129.t1, augustus.g770.t1, augustus.g55640.t1, augustus.g9907.t1, augustus.g53530.t1, augustus.g39725.t1
OG0000320	g32006, g52822, g58845, g17404, g17409, g52823	augustus.g8717.t1, augustus.g13285.t1, augustus.g69558.t1, augustus.g8713.t1
OG0000322	g23530, g30096	augustus.g30519.t1, augustus.g59617.t1, augustus.g50947.t1, augustus.g1442.t1, augustus.g7049.t1, augustus.g50559.t1, augustus.g66381.t1, augustus.g22349.t1
OG0000324	g55793, g26435, g36716, g42861, g46411, g63804, g43235, g20130, g5461	augustus.g15186.t1
OG0000326	g41602	augustus.g66327.t1
OG0000326	g19604, g19605	augustus.g15727.t1, augustus.g15730.t1, augustus.g46856.t1, augustus.g46859.t1, augustus.g46865.t1, augustus.g46868.t1
OG0000327	g46437, g46446, g46450, g48761, g48763, g64434, g46455, g49183	augustus.g15989.t1, augustus.g2252.t1
OG0000328	g63594, g63609, g63597, g58024, g43463, g63696, g63164, g34411	augustus.g16103.t1, augustus.g56770.t1
OG0000329	g38875	augustus.g43114.t1, augustus.g1918.t1, augustus.g17184.t1, augustus.g64535.t1, augustus.g34582.t1, augustus.g31902.t1, augustus.g42249.t1, augustus.g4712.t1, augustus.g45376.t1
OG0000330	g21080, g8588, g33793	augustus.g39150.t1, augustus.g21606.t1, augustus.g20340.t1, augustus.g21442.t1, augustus.g18416.t1, augustus.g39149.t1, augustus.g575.t1
OG0000331	g28406	augustus.g21473.t1, augustus.g7205.t1, augustus.g4431.t1, augustus.g21474.t1, augustus.g54592.t1, augustus.g20351.t1, augustus.g65841.t1, augustus.g51224.t1, augustus.g32390.t1
OG0000332	g63234, g51821	augustus.g21050.t1, augustus.g39393.t1
OG0000332	g63272, g51805, g51804, g63271, g31113	augustus.g39389.t1
OG0000333	g35034, g32095, g39309, g41818, g59806, g3610, g62144, g60739, g29474	augustus.g2303.t1
OG0000334	g13857, g46745, g26173, g13561, g24606, g34634, g62182, g63039, g20254	augustus.g23546.t1
OG0000335	g61275, g13165	augustus.g60684.t1
OG0000335	g56982, g30685, g17469, g45417, g34066, g34941	augustus.g23916.t1
OG0000336	g58508, g20239, g57783, g6780	augustus.g58790.t1, augustus.g57796.t1, augustus.g24005.t1, augustus.g49994.t1, augustus.g50167.t1, augustus.g24006.t1
OG0000337	g26599, g674, g59541, g23740, g26174, g19900, g13563	augustus.g26095.t1, augustus.g44259.t1, augustus.g53190.t1
OG0000338	g60159, g62421, g46396, g46406, g46402, g46398	augustus.g46904.t1, augustus.g27119.t1, augustus.g27112.t1, augustus.g27116.t1
OG0000339	g50930, g21811, g55538	augustus.g5520.t1, augustus.g8759.t1, augustus.g32613.t1, augustus.g3068.t1, augustus.g28840.t1, augustus.g67069.t1, augustus.g4293.t1
OG0000340	g48961, g53310	augustus.g67550.t1, augustus.g53295.t1, augustus.g39290.t1, augustus.g50278.t1, augustus.g29089.t1, augustus.g67049.t1, augustus.g53294.t1, augustus.g55779.t1
OG0000341	g26836, g26827, g35958, g57572, g46674, g59967	augustus.g31029.t1, augustus.g31026.t1, augustus.g31021.t1, augustus.g31030.t1
OG0000342	g6038, g43176, g48642, g18214, g6436, g16380, g19277, g19612, g41652	augustus.g33228.t1
OG0000343	g21195, g56853, g19034, g10391, g58955, g24756, g59532, g21331, g2084	augustus.g33628.t1
OG0000344	g27716, g27728, g9916, g59739, g41691, g56118, g56132, g54201, g57954	augustus.g3456.t1
OG0000345	g52537, g59365, g52539, g59364, g26033, g52538, g26032	augustus.g34787.t1, augustus.g34786.t1, augustus.g34785.t1
OG0000346	g1298	augustus.g53888.t1
OG0000346	g48548, g13124, g36415, g35428, g52581, g55269, g14271	augustus.g35263.t1
OG0000347	g26884	augustus.g4199.t1
OG0000347	g24965, g42951, g58306, g5102, g44115, g37755, g59198	augustus.g39827.t1
OG0000348	g20835, g57534, g58817, g4026, g51260, g59639, g51257	augustus.g45838.t1
OG0000348	g38018	augustus.g63896.t1
OG0000349	g19097, g53517	augustus.g47396.t1
OG0000349	g13730, g27095, g23051, g7666, g48681, g37315	augustus.g68831.t1
OG0000350	g28094, g49788, g42242, g10618, g60621, g61767, g43281, g56124	augustus.g65392.t1, augustus.g50043.t1
OG0000351	g20669, g51715, g43770, g26036, g19413, g48738, g41783, g48660, g339	augustus.g53470.t1
OG0000352	g31683	augustus.g54893.t1, augustus.g54894.t1, augustus.g60958.t1, augustus.g60956.t1, augustus.g60957.t1, augustus.g60955.t1, augustus.g54895.t1, augustus.g60959.t1, augustus.g54892.t1
OG0000358	g45475	augustus.g29725.t1
OG0000358	g3626, g26896, g25249	augustus.g58309.t1
OG0000358	g10638	adi2mcaRNA1009_R0, augustus.g61775.t1
OG0000359	g41382, g54093, g53698, g45953, g58118, g18689, g44961, g14598	adi2mcaRNA10614_R0
OG0000360	g49369, g51219, g43571	augustus.g49214.t1, augustus.g49205.t1, augustus.g32842.t1, adi2mcaRNA10815_R8, augustus.g28019.t1, augustus.g42520.t1
OG0000361	g43843, g43859, g62169, g43850	augustus.g8924.t1, adi2mcaRNA10914_R2, augustus.g53721.t1, augustus.g8922.t1, adi2mcaRNA10914_R1
OG0000362	g6159, g8570	adi2mcaRNA1261_R0, augustus.g32273.t1, augustus.g5080.t1, augustus.g45533.t1, augustus.g20090.t1, augustus.g22746.t1, augustus.g25517.t1
OG0000363	g3769, g47709, g64201, g33137, g41026	adi2mcaRNA16543_R1, adi2mcaRNA35992_R9, adi2mcaRNA14116_R5, adi2mcaRNA14116_R8
OG0000364	g31272, g54008, g54004	augustus.g25682.t1, augustus.g11278.t1, adi2mcaRNA16765_R3, augustus.g10275.t1, augustus.g10276.t1, augustus.g44539.t1
OG0000365	g36586, g36585	adi2mcaRNA17088_R5, adi2mcaRNA17088_R6, augustus.g59249.t1, augustus.g4306.t1, adi2mcaRNA17088_R3, adi2mcaRNA17088_R4, adi2mcaRNA17088_R2
OG0000366	g59301, g55444	adi2mcaRNA17264_R4, adi2mcaRNA17264_R5, adi2mcaRNA17264_R6, adi2mcaRNA17264_R0, adi2mcaRNA17264_R1, adi2mcaRNA17264_R2, adi2mcaRNA17264_R7
OG0000367	g56211, g7522, g22189, g7532, g7529	adi2mcaRNA18550_R4, adi2mcaRNA17567_R8, adi2mcaRNA33951_R0, adi2mcaRNA19780_R7
OG0000368	g58800	adi2mcaRNA18158_R5, adi2mcaRNA18158_R6, adi2mcaRNA18158_R9, adi2mcaRNA18158_R4, adi2mcaRNA18158_R3, adi2mcaRNA18158_R2, adi2mcaRNA18158_R1, adi2mcaRNA18158_R0
OG0000369	g7255, g52903, g32206, g17741, g42859	augustus.g14344.t1, adi2mcaRNA1975_R8, adi2mcaRNA18400_R0, augustus.g59353.t1
OG0000371	g52955, g64245, g49749	adi2mcaRNA18888_R2, adi2mcaRNA18888_R0, augustus.g17348.t1, adi2mcaRNA18888_R9, augustus.g30769.t1, augustus.g48015.t1
OG0000372	g59002, g33254, g53650, g53639, g33125, g52520, g53657, g33132	adi2mcaRNA20009_R7
OG0000373	g60432, g32559, g58441, g241, g37871, g32560	augustus.g26341.t1, adi2mcaRNA2031_R1, augustus.g49880.t1
OG0000374	g53894, g53905, g53898	adi2mcaRNA21090_R6, augustus.g16411.t1, augustus.g3117.t1, augustus.g39548.t1, adi2mcaRNA21090_R4, augustus.g39545.t1
OG0000375	g27034, g19560	adi2mcaRNA21249_R0, adi2mcaRNA21249_R3, adi2mcaRNA21249_R1, adi2mcaRNA21249_R2, adi2mcaRNA30233_R2, adi2mcaRNA30233_R5, adi2mcaRNA30233_R3
OG0000376	g44122	adi2mcaRNA24085_R9, adi2mcaRNA24085_R7, adi2mcaRNA24085_R6
OG0000376	g44124	adi2mcaRNA28525_R9, augustus.g16233.t1, augustus.g4234.t1, augustus.g16137.t1
OG0000378	g13016	augustus.g61682.t1, adi2mcaRNA29167_R6, augustus.g51062.t1, augustus.g10803.t1, augustus.g5700.t1, augustus.g13428.t1, augustus.g61292.t1, augustus.g26321.t1
OG0000379	g20140	augustus.g60741.t1, augustus.g40245.t1, augustus.g69614.t1, augustus.g16122.t1, augustus.g21950.t1, augustus.g36614.t1, adi2mcaRNA30144_R3, augustus.g19069.t1
OG0000382	g57282	augustus.g52702.t1, adi2mcaRNA38233_R4, augustus.g1344.t1, augustus.g54423.t1, augustus.g17896.t1, augustus.g12751.t1, adi2mcaRNA38233_R5, augustus.g6822.t1
OG0000383	g53719, g53720	adi2mcaRNA38234_R6, augustus.g1510.t1, adi2mcaRNA38234_R3, adi2mcaRNA38234_R1, adi2mcaRNA38234_R0, adi2mcaRNA38234_R2, adi2mcaRNA38234_R4
OG0000384	g7090, g36428, g7091, g63620, g63183, g39046	adi2mcaRNA38247_R2, augustus.g38638.t1, augustus.g4069.t1
OG0000386	g58827, g20124, g58828	augustus.g55639.t1, augustus.g55638.t1, augustus.g23764.t1, augustus.g23765.t1, adi2mcaRNA4873_R5, augustus.g23761.t1
OG0000387	g1965, g42814	adi2mcaRNA5406_R3, adi2mcaRNA5406_R1, augustus.g7004.t1, adi2mcaRNA5406_R0, adi2mcaRNA5406_R2, adi2mcaRNA5406_R4, adi2mcaRNA5406_R5
OG0000388	g63043, g41238, g32403, g41240	augustus.g13098.t1, adi2mcaRNA5996_R7, augustus.g61472.t1, augustus.g13095.t1, augustus.g61477.t1
OG0000389	g45722, g52794, g56671, g52176, g56685, g54203, g57318, g57007	augustus.g10414.t1
OG0000390	g1595	augustus.g71451.t1, augustus.g67311.t1, augustus.g11347.t1, augustus.g37615.t1, augustus.g21387.t1, augustus.g71456.t1, augustus.g37622.t1, augustus.g19480.t1
OG0000391	g52560, g17025, g16539, g9791, g58304, g31267, g29663	augustus.g13826.t1, augustus.g11513.t1
OG0000392	g14854, g12408	augustus.g11684.t1, augustus.g26626.t1, augustus.g22714.t1
OG0000392	g50928, g37463, g50021	augustus.g16617.t1
OG0000393	g54187, g46793, g49800	augustus.g38955.t1, augustus.g11948.t1, augustus.g20764.t1, augustus.g13918.t1, augustus.g64667.t1, augustus.g16080.t1
OG0000394	g54708, g60193, g4122, g51157	augustus.g52953.t1, augustus.g52773.t1, augustus.g12108.t1, augustus.g15977.t1, augustus.g53076.t1
OG0000395	g57921	augustus.g9016.t1, augustus.g13583.t1, augustus.g12395.t1, augustus.g29690.t1, augustus.g29688.t1, augustus.g16263.t1, augustus.g15140.t1, augustus.g1848.t1
OG0000396	g26155	augustus.g48734.t1, augustus.g52918.t1, augustus.g26596.t1, augustus.g47117.t1, augustus.g6141.t1, augustus.g12617.t1, augustus.g49810.t1, augustus.g49451.t1
OG0000397	g51939, g31093, g2652, g14768, g27765	augustus.g29084.t1, augustus.g12808.t1, augustus.g31392.t1, augustus.g68495.t1
OG0000399	g23312	augustus.g14016.t1, augustus.g65511.t1, augustus.g65516.t1, augustus.g65510.t1, augustus.g65515.t1, augustus.g65512.t1, augustus.g65514.t1, augustus.g65513.t1
OG0000400	g29233, g14651, g64445, g28585	augustus.g15557.t1, augustus.g18341.t1, augustus.g70726.t1, augustus.g998.t1, augustus.g15556.t1
OG0000401	g48104, g48100, g48107, g48109, g50909	augustus.g6677.t1, augustus.g44422.t1, augustus.g15972.t1, augustus.g44420.t1
OG0000402	g48434, g31913, g56957	augustus.g31141.t1, augustus.g16136.t1, augustus.g64283.t1, augustus.g21940.t1, augustus.g66775.t1, augustus.g20475.t1
OG0000403	g17241, g6913, g58785	augustus.g3542.t1, augustus.g19893.t1, augustus.g3546.t1, augustus.g16215.t1, augustus.g735.t1, augustus.g3539.t1
OG0000404	g58457, g23697, g28181, g6903, g37267	augustus.g6943.t1, augustus.g65759.t1, augustus.g37185.t1, augustus.g16292.t1
OG0000405	g6651	augustus.g25914.t1, augustus.g16687.t1, augustus.g9391.t1, augustus.g53514.t1, augustus.g61.t1, augustus.g23047.t1, augustus.g16686.t1, augustus.g60.t1
OG0000406	g32603	augustus.g56929.t1, augustus.g51322.t1
OG0000406	g46332	augustus.g61164.t1
OG0000406	g362, g40075, g7025	augustus.g16967.t1
OG0000407	g16746	augustus.g9754.t1, augustus.g17006.t1, augustus.g71613.t1, augustus.g18832.t1, augustus.g71611.t1, augustus.g71617.t1, augustus.g69727.t1, augustus.g47770.t1
OG0000408	g14717, g14728, g14721	augustus.g51620.t1, augustus.g17875.t1, augustus.g6309.t1, augustus.g17127.t1, augustus.g41232.t1, augustus.g27128.t1
OG0000409	g59091, g21071, g48118, g54777	augustus.g68895.t1, augustus.g23726.t1, augustus.g19203.t1, augustus.g8139.t1, augustus.g27035.t1
OG0000410	g11524, g54337, g29785, g51454, g27261, g7498, g274, g24660	augustus.g1957.t1
OG0000411	g54761, g16177, g44765, g20198, g50366, g31484, g44665	augustus.g19636.t1, augustus.g57003.t1
OG0000412	g43867, g5171, g43865, g5170	augustus.g31830.t1, augustus.g31829.t1, augustus.g19676.t1, augustus.g20161.t1, augustus.g31831.t1
OG0000413	g14655, g47530	augustus.g19779.t1, augustus.g49122.t1
OG0000413	g34204, g47531, g39264	augustus.g49117.t1, augustus.g49081.t1
OG0000414	g56511, g49703, g56519, g56516, g49691, g49704	augustus.g19905.t1, augustus.g32925.t1, augustus.g29289.t1
OG0000415	g7434, g44132, g46895, g55758, g54063	augustus.g4497.t1, augustus.g4498.t1, augustus.g21161.t1, augustus.g7805.t1
OG0000416	g4128	augustus.g40792.t1
OG0000416	g14360, g26439, g7071	augustus.g52207.t1, augustus.g68704.t1, augustus.g21867.t1, augustus.g70811.t1
OG0000417	g1693, g53895	augustus.g59742.t1, augustus.g22185.t1, augustus.g7470.t1, augustus.g33074.t1, augustus.g48043.t1, augustus.g54864.t1, augustus.g33490.t1
OG0000418	g11447, g26892, g11449, g11446, g26894, g11448, g26887, g11442	augustus.g22268.t1
OG0000419	g33277	augustus.g22728.t1
OG0000419	g49526, g30320, g56385, g49525	augustus.g6145.t1, augustus.g48497.t1, augustus.g25752.t1
OG0000420	g22742, g12726, g23547, g42085, g48192, g33477, g12753, g44896	augustus.g22815.t1
OG0000421	g21161, g53297, g58775, g7592, g64025, g58237, g30094, g30107	augustus.g26326.t1
OG0000422	g51632	augustus.g5729.t1, augustus.g66699.t1
OG0000422	g60457, g6742, g19296	augustus.g67767.t1, augustus.g44514.t1, augustus.g26956.t1
OG0000423	g63237, g51816, g51820, g51818, g63236	augustus.g32268.t1, augustus.g39383.t1, augustus.g32266.t1, augustus.g39385.t1
OG0000424	g54829, g44609, g41124, g28539, g50219, g49076, g20616, g53633	augustus.g39234.t1
OG0000425	g44335, g59466, g44285, g38537, g44282, g50750, g32365	augustus.g51942.t1, augustus.g39403.t1
OG0000426	g45985, g5203, g38092, g48392, g47456, g9508, g32968, g45546	augustus.g39695.t1
OG0000427	g19507	augustus.g51666.t1
OG0000427	g59963, g62530, g7965, g15623, g5323, g42929	augustus.g42331.t1
OG0000428	g41659, g9342, g37323, g40391, g45408, g59295, g54987, g62286	augustus.g47120.t1
OG0000429	g50715, g26639, g34141, g42517, g49932, g21111, g28867, g63578	augustus.g48113.t1
OG0000430	g2137, g14534, g47120, g60303, g45896, g47417, g23402, g938	augustus.g53780.t1
OG0000431	g49534, g57811, g13278, g56579, g54410, g59595	augustus.g59358.t1, augustus.g54752.t1, augustus.g56836.t1
OG0000432	g18253, g18258, g36077, g18248, g47213, g19444, g19451, g42239	augustus.g57247.t1
OG0000433	g4074, g2050, g30068, g22225, g9741, g5254, g50601, g28220	augustus.g57656.t1
OG0000434	g33686, g46449, g53543, g47915, g50271, g63707, g18735, g4468	augustus.g58124.t1
OG0000435	g26775, g14058, g56748, g20978, g63898, g36747, g4015, g32008	augustus.g60818.t1
OG0000436	g41550, g51918, g50581, g57823, g51915, g41549, g57258	augustus.g63086.t1, augustus.g63088.t1
OG0000437	g1324, g48084, g44850, g33267, g1323, g36928, g44849, g58335	augustus.g70937.t1
OG0000443	g22764, g22767	augustus.g24171.t1, augustus.g9726.t1, augustus.g37017.t1, augustus.g37012.t1, adi2mcaRNA11302_R5, augustus.g37007.t1
OG0000444	g29064	augustus.g6193.t1, augustus.g61648.t1, augustus.g61651.t1, augustus.g61649.t1, augustus.g6192.t1, augustus.g61652.t1, adi2mcaRNA11713_R2
OG0000445	g40443, g40444, g25506, g25509, g25503, g219	adi2mcaRNA12910_R2, augustus.g34551.t1
OG0000446	g57806, g37457	adi2mcaRNA13855_R9
OG0000446	g54887, g37794, g30837, g37440	augustus.g44040.t1
OG0000447	g6993	augustus.g61635.t1, augustus.g29765.t1, augustus.g52657.t1
OG0000447	g47907, g5888, g13863	adi2mcaRNA14555_R7
OG0000448	g52286, g37307	augustus.g58794.t1, augustus.g58777.t1, adi2mcaRNA15483_R2, augustus.g58774.t1, augustus.g58775.t1, augustus.g11799.t1
OG0000449	g48567	adi2mcaRNA15523_R5
OG0000449	g57308, g36932, g44847, g1328, g32881	augustus.g34662.t1
OG0000450	g19278, g24258, g7330, g56542, g61876, g21780, g25407	adi2mcaRNA16431_R0
OG0000451	g43573, g10332, g49370	adi2mcaRNA1682_R2, adi2mcaRNA1682_R3, augustus.g23716.t1, augustus.g48767.t1, augustus.g70987.t1
OG0000453	g2366, g2372	augustus.g36078.t1, adi2mcaRNA17743_R4, adi2mcaRNA17743_R1, augustus.g18154.t1, augustus.g36067.t1, augustus.g36068.t1
OG0000454	g38690, g60363	adi2mcaRNA20422_R6, adi2mcaRNA20422_R1, adi2mcaRNA20422_R0, adi2mcaRNA20422_R5, adi2mcaRNA20422_R2, adi2mcaRNA20422_R3
OG0000455	g45473, g44200, g28041, g28042, g47138, g28040, g28051	adi2mcaRNA2274_R2
OG0000456	g53813, g53826, g22943	adi2mcaRNA2328_R2, augustus.g69348.t1, augustus.g10592.t1, augustus.g69361.t1, augustus.g69359.t1
OG0000457	g52972, g51707, g51706	augustus.g68058.t1, augustus.g68082.t1, augustus.g48392.t1, adi2mcaRNA23538_R3, augustus.g34374.t1
OG0000458	g39201, g56102, g37413, g46592, g43741	augustus.g64444.t1, augustus.g1337.t1, adi2mcaRNA24376_R6
OG0000459	g49022	augustus.g31584.t1, augustus.g62689.t1, adi2mcaRNA25302_R1, adi2mcaRNA25302_R0, adi2mcaRNA25302_R2, augustus.g42880.t1, augustus.g39823.t1
OG0000460	g24775	adi2mcaRNA26320_R1, augustus.g70667.t1, adi2mcaRNA26320_R5, adi2mcaRNA26320_R7, augustus.g19680.t1, adi2mcaRNA26320_R4, adi2mcaRNA26320_R3
OG0000461	g40392	augustus.g7781.t1, augustus.g9955.t1
OG0000461	g56262, g24127	adi2mcaRNA29166_R5, adi2mcaRNA29166_R4, adi2mcaRNA29166_R2
OG0000462	g6260, g30242, g58749, g22946, g30245	adi2mcaRNA31773_R9, augustus.g56514.t1, augustus.g15655.t1
OG0000463	g38203	augustus.g24442.t1, augustus.g1355.t1, augustus.g6826.t1, augustus.g1339.t1, adi2mcaRNA32298_R6, adi2mcaRNA32298_R2, augustus.g12747.t1
OG0000464	g25598	adi2mcaRNA32430_R4, adi2mcaRNA32430_R8, augustus.g25382.t1, augustus.g44556.t1, augustus.g69069.t1, augustus.g69126.t1, augustus.g12848.t1
OG0000465	g63305, g52400	augustus.g58036.t1, augustus.g19689.t1, augustus.g19393.t1, adi2mcaRNA36971_R4, adi2mcaRNA33951_R8, augustus.g2461.t1
OG0000466	g25896	augustus.g25739.t1, augustus.g38559.t1, augustus.g27206.t1, adi2mcaRNA34550_R3, augustus.g15277.t1, augustus.g8400.t1, augustus.g9518.t1
OG0000467	g62283, g50481, g25020, g58028, g54975, g6845, g30136	adi2mcaRNA35189_R0
OG0000468	g40315, g31523, g7251	adi2mcaRNA39114_R7, adi2mcaRNA39114_R9, adi2mcaRNA39114_R8, adi2mcaRNA39114_R3, adi2mcaRNA39114_R2
OG0000469	g28808	adi2mcaRNA39874_R1, adi2mcaRNA39874_R2, adi2mcaRNA39874_R5, adi2mcaRNA39874_R0, adi2mcaRNA39874_R3, adi2mcaRNA39874_R6, adi2mcaRNA39874_R8
OG0000470	g61897	adi2mcaRNA40798_R0, adi2mcaRNA40798_R1, adi2mcaRNA40798_R4, adi2mcaRNA40798_R2
OG0000470	g11678	augustus.g3609.t1, augustus.g41841.t1
OG0000471	g9385, g52629, g55225, g51863, g50976, g28609	adi2mcaRNA41354_R1, augustus.g29093.t1
OG0000472	g30459, g25246, g33805	adi2mcaRNA7946_R0
OG0000472	g33983, g17987, g47649	augustus.g67840.t1
OG0000473	g4366, g4353, g4379, g4376, g4372, g4355, g34514	augustus.g10219.t1
OG0000475	g18073	augustus.g57819.t1, augustus.g47530.t1, augustus.g17249.t1, augustus.g41256.t1, augustus.g10630.t1, augustus.g42200.t1, augustus.g651.t1
OG0000476	g48946, g46190, g43986	augustus.g35660.t1, augustus.g40604.t1, augustus.g1069.t1, augustus.g53172.t1, augustus.g70916.t1
OG0000477	g37103	augustus.g50976.t1, augustus.g65295.t1, augustus.g22063.t1, augustus.g25961.t1, augustus.g68091.t1, augustus.g45661.t1, augustus.g11038.t1
OG0000478	g58037, g51041, g55061, g54404	augustus.g67466.t1, augustus.g11146.t1, augustus.g43539.t1, augustus.g11149.t1
OG0000479	g37644, g20607	augustus.g45943.t1, augustus.g50346.t1, augustus.g54075.t1, augustus.g53953.t1, augustus.g1173.t1, augustus.g49619.t1
OG0000480	g140, g143, g142, g139	augustus.g13412.t1, augustus.g11827.t1, augustus.g13415.t1, augustus.g37212.t1
OG0000481	g59766, g59765, g42957, g56492, g59768	augustus.g26795.t1, augustus.g12138.t1, augustus.g27545.t1
OG0000482	g59211, g34153	augustus.g50447.t1, augustus.g2626.t1, augustus.g55121.t1, augustus.g39014.t1, augustus.g12240.t1, augustus.g12246.t1
